timestamp, state, clock ID, one way delay, offset from master, slave to master, master to slave, drift
2011-07-27 13:54:59:468577, init
2011-07-27 13:54:59:469608, lstn
2011-07-27 13:55:00:047391, slv, 0050c2fffed28deb/01, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0
2011-07-27 13:55:01:036986, slv, 0050c2fffed28deb/01, 0.000000000, -0.000635995, 0.000000000, 0.001271990, -635
2011-07-27 13:55:02:198700, slv, 0050c2fffed28deb/01, 0.000000000, -0.001267090, 0.000000000, 0.001262190, -1902
2011-07-27 13:55:03:187173, slv, 0050c2fffed28deb/01, 0.000000000, -0.001226470, 0.000000000, 0.001190750, -3128
2011-07-27 13:55:04:207371, slv, 0050c2fffed28deb/01, 0.000000000, -0.001126450, 0.000000000, 0.001062150, -4254
2011-07-27 13:55:05:338392, slv, 0050c2fffed28deb/01, 0.000000000, -0.000996670, 0.000000000, 0.000931190, -5250
2011-07-27 13:55:06:357736, slv, 0050c2fffed28deb/01, 0.000000000, -0.000873210, 0.000000000, 0.000815230, -6123
2011-07-27 13:55:07:368201, slv, 0050c2fffed28deb/01, 0.000000000, -0.000765710, 0.000000000, 0.000716190, -6888
2011-07-27 13:55:08:478631, slv, 0050c2fffed28deb/01, 0.000000000, -0.000668150, 0.000000000, 0.000620110, -7556
2011-07-27 13:55:09:520431, slv, 0050c2fffed28deb/01, 0.000000000, -0.000580550, 0.000000000, 0.000540990, -8136
2011-07-27 13:55:10:508587, slv, 0050c2fffed28deb/01, 0.000000000, -0.000507310, 0.000000000, 0.000473630, -8643
2011-07-27 13:55:11:649113, slv, 0050c2fffed28deb/01, 0.000000000, -0.000439910, 0.000000000, 0.000406190, -9082
2011-07-27 13:55:12:675281, slv, 0050c2fffed28deb/01, 0.000000000, -0.000379610, 0.000000000, 0.000353030, -9461
2011-07-27 13:55:13:668944, slv, 0050c2fffed28deb/01, 0.000000000, -0.000329610, 0.000000000, 0.000306190, -9790
